STORE_NAME,longitude,latitude,ADDRESS,ADDRESS2,CITY,STATE,ZIP5,zip4,County,
"FRIANT DEPOT SHELL",-119.71091,36.991169,"17822 N FRIANT RD","","FRIANT","CA","93626","","FRESNO" 
"Woosung SM Corp",-118.21108,34.07365,"2920 N Broadway","","Los Angeles","CA","90031","2601","LOS ANGELES" 
"Sierra Liquor & Deli",-119.63709,36.33836,"1220 N 10th Ave","","Hanford","CA","93230","3430","KINGS" 
"RITE AID 5835",-120.43748,34.950256,"345 Town Ctr W","","Santa Maria","CA","93458","5076","SANTA BARBARA" 
"RITE AID 5836",-120.43615,34.916492,"2405 S Broadway","","Santa Maria","CA","93454","7817","SANTA BARBARA" 
"RITE AID 5879",-121.24595,36.328312,"650 Walnut Ave","","Greenfield","CA","93927","4928","MONTEREY" 
"RITE AID 5880",-121.13039,36.204609,"540 Canal St","","King City","CA","93930","3446","MONTEREY" 
"RITE AID 6185",-120.12853,34.599712,"616 Alamo Pintado Rd","","Solvang","CA","93463","2202","SANTA BARBARA" 
"RITE AID 5526",-118.13297,34.190094,"735 E Altadena Dr","","Altadena","CA","91001","2302","LOS ANGELES" 
"RITE AID 5529",-118.19263,34.201122,"647 Foothill Blvd","","La Canada Flintridge","CA","91011","3498","LOS ANGELES" 
"RITE AID 5531",-118.1503,34.115612,"914 Fair Oaks Ave","","South Pasadena","CA","91030","3308","LOS ANGELES" 
